Tail Number,System,Sub-System,Registration Time,Closing Time,Validated?,Register Profession,Closer Profession
806,15,A,16/08/2020 17:05,24/08/2020 16:11,TRUE,Class A Heli Struct Sys Tech,Class A Heli Struct Sys Tech
910,12,A,16/08/2020 17:16,16/08/2020 17:18,TRUE,Class A Armament Tech,Class A Armament Tech
840,76,E,16/08/2020 22:48,16/08/2020 22:49,TRUE,Class A Officer,Class A Officer
840,75,V,17/08/2020 10:16,17/08/2020 10:27,TRUE,Class A Armament Tech,Class A Armament Tech
801,47,F,17/08/2020 10:50,18/08/2020 18:00,TRUE,Class A Electricity Tech,Class A Electricity Tech
815,74,E,17/08/2020 11:47,17/08/2020 13:59,TRUE,Class A Armament Tech,Class B Avionics Tech
840,26,B,17/08/2020 13:38,17/08/2020 16:54,TRUE,Pilot,Class A Tech
966,74,D,17/08/2020 21:01,18/08/2020 14:32,TRUE,Pilot,Class B Avionics Tech
815,63,A,17/08/2020 21:06,17/08/2020 23:47,TRUE,Pilot,Class A Officer
967,74,1,17/08/2020 21:11,18/08/2020 15:24,FALSE,Pilot,Class B Avionics Tech
967,43,C,17/08/2020 21:11,18/08/2020 14:50,TRUE,Pilot,Class A Class A Electricity Tech
967,90,A,17/08/2020 21:11,17/08/2020 22:56,FALSE,Pilot,Class B Flight Control Tech
966,62,E,17/08/2020 22:30,18/08/2020 1:32,TRUE,Class B Avionics Tech,Class B Avionics Tech
,62,E,17/08/2020 22:30,18/08/2020 1:32,TRUE,Class B Avionics Tech,Class B Avionics Tech
845,74,E,17/08/2020 23:31,18/08/2020 11:52,TRUE,Pilot,Class B Avionics Tech
845,14,R,17/08/2020 23:31,18/08/2020 11:01,TRUE,Pilot,Class A Heli Struct Sys Tech
832,75,W,18/08/2020 0:01,18/08/2020 16:32,FALSE,Pilot,Class A Armament Tech
834,62,E,18/08/2020 0:01,19/08/2020 0:28,TRUE,Pilot,Class B Avionics Tech
834,12,A,18/08/2020 0:01,18/08/2020 12:32,TRUE,Pilot,Class A Class A Electricity Tech
834,76,D,18/08/2020 0:01,19/08/2020 0:37,FALSE,Pilot,Class B Avionics Tech
832,44,B,18/08/2020 0:01,18/08/2020 11:36,TRUE,Pilot,Class A Class A Electricity Tech
832,12,C,18/08/2020 0:01,18/08/2020 9:33,TRUE,Pilot,Class A Heli Struct Sys Tech
828,96,D,18/08/2020 0:17,18/08/2020 10:37,TRUE,Pilot,Class A Class A Electricity Tech
